chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2062-0196-1997;01969082000140;2062;1;0;0;PRIVADO;ATIVA
3999-2378-1992;23781859000180;3999;1;0;0;PRIVADO;ATIVA
3999-6551-1991;65511230000160;3999;1;0;0;PRIVADO;ATIVA
2135-1104-2009;11045455000140;2135;1;1;0;PRIVADO;ATIVA
2062-4617-1989;46174884003540;2062;0;0;0;PRIVADO;ATIVA
2062-6051-1989;60518669000100;2062;1;1;0;PRIVADO;ATIVA
2062-1255-2010;12550606000180;2062;1;0;0;PRIVADO;ATIVA
2062-7345-2007;73452617000200;2062;0;0;0;PRIVADO;ATIVA
2135-0478-2001;04782416000160;2135;1;0;0;PRIVADO;BAIXADA
2062-0456-2001;04567176000180;2062;1;0;0;PRIVADO;ATIVA
2135-1213-2010;12137564000150;2135;1;1;0;PRIVADO;ATIVA
2062-1302-2010;13021077000190;2062;1;0;0;PRIVADO;ATIVA
2062-5855-1988;58553165000170;2062;1;1;0;PRIVADO;ATIVA
2305-1044-2008;10443721000120;2305;1;0;0;PRIVADO;ATIVA
2135-1542-2012;15428453000190;2135;1;1;1;PRIVADO;ATIVA
2062-0788-2006;07880716000170;2062;1;0;0;PRIVADO;ATIVA
2062-1201-2010;12011610000170;2062;1;0;0;PRIVADO;BAIXADA
2062-2748-1995;27480615000380;2062;0;0;0;PRIVADO;ATIVA
2062-0539-2002;05396242000160;2062;1;0;0;PRIVADO;ATIVA
2135-1242-2010;12424485000120;2135;1;1;0;PRIVADO;BAIXADA
2062-0722-2005;07227018000170;2062;1;0;0;PRIVADO;BAIXADA
2135-1038-2008;10381232000190;2135;1;1;0;PRIVADO;BAIXADA
2135-1430-2011;14304526000170;2135;1;1;1;PRIVADO;ATIVA
2135-0099-1995;00990551000140;2135;1;0;0;PRIVADO;ATIVA
2062-0280-1998;02808965000130;2062;1;0;0;PRIVADO;ATIVA
2062-8326-2004;83261420001120;2062;0;0;0;PRIVADO;ATIVA
2135-1162-2010;11622936000170;2135;1;1;0;PRIVADO;ATIVA
2062-0956-2008;09568621000140;2062;1;1;0;PRIVADO;ATIVA
2240-0152-1996;01520755000180;2240;1;0;0;PRIVADO;BAIXADA
2062-1171-2010;11716134000120;2062;1;0;0;PRIVADO;BAIXADA
2062-4987-2009;49871213001400;2062;0;0;0;PRIVADO;ATIVA
2135-0956-2008;09565830000130;2135;1;0;0;PRIVADO;ATIVA
2062-1529-2012;15294213000140;2062;1;0;0;PRIVADO;ATIVA
2135-1457-2011;14577819000120;2135;1;0;0;PRIVADO;BAIXADA
2062-1173-2010;11736583000130;2062;1;0;0;PRIVADO;ATIVA
