chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2135-1230-2010;12305448000100;2135;1;1;1;PRIVADO;ATIVA
2062-1418-2011;14180365000150;2062;1;0;0;PRIVADO;ATIVA
2062-0114-1996;01144533000100;2062;1;0;0;PRIVADO;BAIXADA
2135-0191-1997;01911869000150;2135;1;0;0;PRIVADO;BAIXADA
2062-0024-1994;00243955000170;2062;1;0;0;PRIVADO;BAIXADA
2135-0089-1995;00890690000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0088-1995;00887641000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0009-1982;00092783000180;2062;1;0;0;PRIVADO;BAIXADA
2135-0932-2008;09320876000190;2135;1;0;0;PRIVADO;BAIXADA
2135-0184-1986;01846005000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0561-2003;05610297000120;2062;1;0;0;PRIVADO;BAIXADA
2135-1504-2012;15044857000180;2135;1;1;1;PRIVADO;ATIVA
2135-1502-2012;15028623000140;2135;1;1;1;PRIVADO;ATIVA
2135-0729-2005;07297742000170;2135;1;1;0;PRIVADO;ATIVA
2062-1529-2012;15291845000150;2062;1;1;0;PRIVADO;ATIVA
2062-1509-2012;15090404000190;2062;1;1;0;PRIVADO;ATIVA
2046-9040-2010;90400888251650;2046;0;0;0;PRIVADO;ATIVA
2062-1225-2010;12254288000100;2062;1;0;0;PRIVADO;ATIVA
2062-0422-2001;04226709000160;2062;1;0;0;PRIVADO;ATIVA
3999-1667-1973;16679748000100;3999;1;0;0;PRIVADO;ATIVA
2062-0779-2006;07793444000170;2062;1;0;0;PRIVADO;ATIVA
2135-0322-1999;03220549000180;2135;1;1;0;PRIVADO;ATIVA
3999-0168-1996;01687525000100;3999;1;0;0;PRIVADO;ATIVA
2135-1177-2010;11772974000100;2135;1;1;0;PRIVADO;ATIVA
2062-0585-2009;05850538000290;2062;0;0;0;PRIVADO;ATIVA
2062-8639-1994;86396371000150;2062;1;1;0;PRIVADO;ATIVA
2062-5279-1983;52792652000100;2062;1;0;0;PRIVADO;ATIVA
3999-1581-2012;15818386000110;3999;1;0;0;PRIVADO;BAIXADA
2062-0149-1996;01498181000190;2062;1;1;0;PRIVADO;ATIVA
2062-8049-1988;80495856000700;2062;0;0;0;PRIVADO;ATIVA
2135-0218-1997;02186486000120;2135;1;1;0;PRIVADO;ATIVA
2062-6507-1997;65070146000230;2062;0;0;0;PRIVADO;ATIVA
2062-0205-1997;02053352000130;2062;1;0;0;PRIVADO;ATIVA
2062-0631-1975;06319255001170;2062;0;0;0;PRIVADO;ATIVA
2313-1088-2009;10886199000150;2313;1;1;0;PRIVADO;ATIVA
2240-1201-2010;12019359000190;2240;1;0;0;PRIVADO;ATIVA
2062-0621-2004;06216178000150;2062;1;0;0;PRIVADO;ATIVA
2135-1245-2010;12459122000120;2135;1;1;1;PRIVADO;ATIVA
4120-1053-2008;10532571000120;4120;1;0;0;PRIVADO;ATIVA
2062-1116-2009;11163415000100;2062;1;0;0;PRIVADO;ATIVA
3220-2096-1978;20963351002230;3220;0;0;0;PRIVADO;ATIVA
3999-5505-1988;55055743000150;3999;1;0;0;PRIVADO;ATIVA
2062-1119-2009;11199599000150;2062;1;1;0;PRIVADO;ATIVA
2135-0944-2008;09445384000120;2135;1;1;0;PRIVADO;ATIVA
2135-8730-1973;87301180000120;2135;1;0;0;PRIVADO;ATIVA
2062-0873-2007;08739568000130;2062;1;0;0;PRIVADO;ATIVA
2135-0450-2001;04500550000120;2135;1;0;0;PRIVADO;ATIVA
2135-1281-2010;12810402000130;2135;1;1;0;PRIVADO;ATIVA
2232-0541-2002;05410317000110;2232;1;0;0;PRIVADO;BAIXADA
2062-1222-2010;12223579000130;2062;1;1;0;PRIVADO;ATIVA
2135-9661-1993;96617865000170;2135;1;0;0;PRIVADO;ATIVA
4120-0804-2006;08047579000150;4120;1;0;0;PRIVADO;ATIVA
4090-0987-2008;09873296000120;4090;1;0;0;PRIVADO;BAIXADA
2062-0864-2007;08641806000170;2062;1;0;0;PRIVADO;BAIXADA
2062-0921-2007;09214498000160;2062;1;0;0;PRIVADO;BAIXADA
2062-1269-2010;12690066000130;2062;1;0;0;PRIVADO;ATIVA
2062-0760-2005;07605227000100;2062;1;0;0;PRIVADO;BAIXADA
2062-9440-1992;94409778000100;2062;1;0;0;PRIVADO;ATIVA
3034-2108-1981;21081120000130;3034;1;0;0;PRIVADO;ATIVA
2305-7768-1983;77687663000150;2305;1;1;0;PRIVADO;ATIVA
2135-1310-2011;13103110000120;2135;1;1;1;PRIVADO;ATIVA
2062-8463-1994;84630474000450;2062;0;0;0;PRIVADO;ATIVA
2062-3722-1992;37224847000160;2062;1;0;0;PRIVADO;ATIVA
2135-1197-2010;11971190000100;2135;1;1;1;PRIVADO;ATIVA
2062-0724-2005;07244034000170;2062;1;0;0;PRIVADO;ATIVA
4120-1212-2010;12121605000110;4120;1;0;0;PRIVADO;ATIVA
2135-1270-2010;12708033000170;2135;1;1;1;PRIVADO;ATIVA
3220-6295-1988;62955505281310;3220;0;0;0;PRIVADO;ATIVA
2240-2161-1985;21614193000140;2240;1;0;0;PRIVADO;BAIXADA
2062-0500-2001;05008116000190;2062;1;0;0;PRIVADO;ATIVA
2062-0709-1983;07095151000110;2062;1;0;0;PRIVADO;ATIVA
2135-1549-2012;15493137000100;2135;1;1;1;PRIVADO;ATIVA
2135-0925-2007;09253073000160;2135;1;1;0;PRIVADO;ATIVA
2135-0526-2002;05266699000150;2135;1;1;0;PRIVADO;ATIVA
2062-0531-2002;05312857000160;2062;1;0;0;PRIVADO;BAIXADA
2062-0542-2002;05421886000160;2062;1;0;0;PRIVADO;BAIXADA
2062-4206-1992;42064295000100;2062;1;0;0;PRIVADO;BAIXADA
2135-0189-1997;01893515000120;2135;1;0;0;PRIVADO;BAIXADA
2062-1513-1986;15136062000100;2062;1;0;0;PRIVADO;BAIXADA
2038-1718-1986;17184201078970;2038;0;0;0;MISTA;BAIXADA
2062-1513-1965;15136583000150;2062;1;0;0;PRIVADO;BAIXADA
2062-1536-1982;15361199000150;2062;1;0;0;PRIVADO;BAIXADA
2062-1560-1983;15608045000110;2062;1;0;0;PRIVADO;BAIXADA
2135-0743-1984;07435464000170;2135;1;0;0;PRIVADO;BAIXADA
2135-0818-2006;08180392000120;2135;1;0;0;PRIVADO;BAIXADA
2135-0226-1977;02265502000170;2135;1;0;0;PRIVADO;BAIXADA
2135-0490-2002;04907539000180;2135;1;0;0;PRIVADO;BAIXADA
2135-1253-2010;12537293000120;2135;1;0;0;PRIVADO;BAIXADA
2062-0943-2008;09437544000190;2062;1;0;0;PRIVADO;BAIXADA
3999-1011-2008;10118122000130;3999;1;0;0;PRIVADO;BAIXADA
2240-0381-2000;03814359000190;2240;1;0;0;PRIVADO;BAIXADA
2062-6153-1989;61538567000100;2062;1;0;0;PRIVADO;BAIXADA
2135-0496-2002;04966436000190;2135;1;0;0;PRIVADO;BAIXADA
2135-6462-1990;64624521000100;2135;1;0;0;PRIVADO;BAIXADA
2135-7736-1977;77365765000150;2135;1;0;0;PRIVADO;BAIXADA
2135-0032-1994;00326297000180;2135;1;0;0;PRIVADO;ATIVA
2135-1464-2011;14644627000190;2135;1;1;0;PRIVADO;ATIVA
2135-1362-2011;13629575000110;2135;1;0;0;PRIVADO;ATIVA
2135-1558-2012;15581916000150;2135;1;1;1;PRIVADO;ATIVA
2062-0347-1999;03471229000100;2062;1;0;0;PRIVADO;ATIVA
2062-0623-2004;06230514000110;2062;1;1;0;PRIVADO;ATIVA
2135-1489-2012;14894610000190;2135;1;1;1;PRIVADO;ATIVA
2135-0543-2002;05438357000170;2135;1;0;0;PRIVADO;ATIVA
2062-1340-2011;13401477000120;2062;1;1;0;PRIVADO;ATIVA
2135-7283-1966;72833999000160;2135;1;1;0;PRIVADO;ATIVA
2062-1248-2010;12481765000170;2062;1;1;0;PRIVADO;ATIVA
2062-1177-2010;11771732000100;2062;1;0;0;PRIVADO;ATIVA
2062-1044-2008;10441320000130;2062;1;1;0;PRIVADO;ATIVA
2062-1085-2009;10850466000130;2062;1;0;0;PRIVADO;ATIVA
2135-1048-2012;10480447000240;2135;0;1;0;PRIVADO;ATIVA
2062-1569-2012;15697292000130;2062;1;0;0;PRIVADO;ATIVA
2135-1521-2012;15217444000150;2135;1;1;0;PRIVADO;ATIVA
2135-1522-2012;15220854000150;2135;1;1;1;PRIVADO;ATIVA
3271-1574-2009;15740742000120;3271;1;0;0;PUBLICO;ATIVA
4120-0821-2006;08216974000380;4120;0;0;0;PRIVADO;ATIVA
2062-0199-1997;01995195000110;2062;1;0;0;PRIVADO;ATIVA
2135-0339-1999;03391792000160;2135;1;0;0;PRIVADO;ATIVA
4120-0845-2010;08457794000390;4120;0;0;0;PRIVADO;ATIVA
2062-1422-2011;14222846000180;2062;1;1;0;PRIVADO;ATIVA
2135-0766-2005;07669934000160;2135;1;0;0;PRIVADO;BAIXADA
2062-0613-2004;06137179000100;2062;1;0;0;PRIVADO;ATIVA
3085-0138-1996;01387360000150;3085;1;0;0;PRIVADO;ATIVA
2135-4506-1974;45064714000100;2135;1;0;0;PRIVADO;ATIVA
3271-0954-2008;09545298000190;3271;1;0;0;PUBLICO;ATIVA
2062-4048-1994;40484867000850;2062;0;0;0;PRIVADO;ATIVA
2135-4834-1982;48346043000150;2135;1;1;0;PRIVADO;ATIVA
2062-1356-2011;13567044000140;2062;1;1;0;PRIVADO;ATIVA
2135-1359-2011;13598884000170;2135;1;0;0;PRIVADO;BAIXADA
2062-0405-2000;04056122000150;2062;1;0;0;PRIVADO;ATIVA
2062-0484-2002;04841694000140;2062;1;0;0;PRIVADO;ATIVA
3085-6650-1992;66508078000120;3085;1;0;0;PRIVADO;ATIVA
2135-1172-2010;11726294000150;2135;1;1;0;PRIVADO;ATIVA
2135-1195-2010;11959342000150;2135;1;1;1;PRIVADO;ATIVA
2062-3448-1988;34481390000180;2062;1;0;0;PRIVADO;ATIVA
2135-1255-2010;12555119000100;2135;1;1;1;PRIVADO;ATIVA
2062-0790-2006;07907566000140;2062;1;1;0;PRIVADO;ATIVA
2135-0168-1997;01682355000170;2135;1;0;0;PRIVADO;ATIVA
2135-0845-2006;08455770000130;2135;1;0;0;PRIVADO;ATIVA
2062-7403-1993;74034307000140;2062;1;0;0;PRIVADO;ATIVA
2135-1467-2011;14672094000150;2135;1;1;1;PRIVADO;ATIVA
2135-0252-1998;02521644000150;2135;1;1;0;PRIVADO;ATIVA
2135-1413-2011;14133477000150;2135;1;1;0;PRIVADO;ATIVA
2135-0602-2003;06021074000190;2135;1;0;0;PRIVADO;ATIVA
2135-0778-2006;07784989000110;2135;1;0;0;PRIVADO;ATIVA
2135-1455-2011;14550570000160;2135;1;1;1;PRIVADO;ATIVA
2135-1457-2011;14570622000160;2135;1;1;0;PRIVADO;ATIVA
3999-0105-1973;01052752000240;3999;0;0;0;PRIVADO;ATIVA
2135-0935-2008;09353200000100;2135;1;1;0;PRIVADO;ATIVA
2135-0910-2007;09102759000150;2135;1;0;0;PRIVADO;ATIVA
2062-0931-2008;09310725000150;2062;1;0;0;PRIVADO;ATIVA
4120-0837-2006;08374337000170;4120;1;0;0;PRIVADO;ATIVA
2305-0822-2006;08225677000130;2305;1;1;0;PRIVADO;ATIVA
2305-1386-2012;13865327000410;2305;0;1;0;PRIVADO;ATIVA
2135-1529-2012;15296818000170;2135;1;1;1;PRIVADO;ATIVA
4120-0840-2006;08402134000140;4120;1;0;0;PRIVADO;ATIVA
2062-5912-1988;59121624000100;2062;1;1;0;PRIVADO;ATIVA
2135-9211-1988;92112333000120;2135;1;0;0;PRIVADO;ATIVA
2224-0866-2007;08661339000140;2224;1;0;0;PRIVADO;BAIXADA
2135-1457-2011;14577061000120;2135;1;1;1;PRIVADO;ATIVA
2062-1479-2011;14797432000180;2062;1;0;0;PRIVADO;ATIVA
4090-1670-2012;16700845000120;4090;1;0;0;PRIVADO;BAIXADA
2135-1458-2011;14581505000100;2135;1;1;1;PRIVADO;ATIVA
2062-1530-2012;15309170000120;2062;1;0;0;PRIVADO;ATIVA
2135-0419-1972;04190278000120;2135;1;0;0;PRIVADO;BAIXADA
2135-1438-2011;14384803000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0710-2006;07104105000210;2062;0;1;0;PRIVADO;ATIVA
2135-1579-2012;15797920000150;2135;1;1;1;PRIVADO;ATIVA
2062-8980-1979;89809099000180;2062;1;0;0;PRIVADO;BAIXADA
2135-8874-1983;88740717000110;2135;1;0;0;PRIVADO;BAIXADA
2062-8848-1976;88485743000140;2062;1;0;0;PRIVADO;BAIXADA
2062-2919-1975;29190576000140;2062;1;0;0;PRIVADO;BAIXADA
3999-5144-1985;51444594000160;3999;1;0;0;PRIVADO;BAIXADA
4014-6012-1989;60124799000150;4014;1;0;0;PRIVADO;BAIXADA
2062-5096-1982;50962802000150;2062;1;0;0;PRIVADO;BAIXADA
2135-5660-1986;56609704000110;2135;1;0;0;PRIVADO;BAIXADA
2062-2527-1988;25278086000140;2062;1;0;0;PRIVADO;BAIXADA
2062-3166-1987;31669633000110;2062;1;0;0;PRIVADO;BAIXADA
2135-5281-1983;52817210000170;2135;1;0;0;PRIVADO;BAIXADA
2135-2931-1985;29319787000130;2135;1;0;0;PRIVADO;BAIXADA
2135-1930-1976;19304245000130;2135;1;0;0;PRIVADO;BAIXADA
2062-5010-1978;50109289000150;2062;1;0;0;PRIVADO;BAIXADA
4014-5467-1986;54677331000190;4014;1;0;0;PRIVADO;BAIXADA
2135-5207-1982;52070638000100;2135;1;0;0;PRIVADO;BAIXADA
2135-5522-1986;55228365000160;2135;1;0;0;PRIVADO;BAIXADA
2062-6479-1990;64797277000170;2062;1;0;0;PRIVADO;BAIXADA
2062-6874-1993;68747245000200;2062;0;0;0;PRIVADO;BAIXADA
2062-7349-1993;73497265000110;2062;1;0;0;PRIVADO;BAIXADA
2062-6704-1991;67048348000120;2062;1;0;0;PRIVADO;BAIXADA
2062-7668-1994;76684166000640;2062;0;0;0;PRIVADO;BAIXADA
2135-6406-1990;64069826000190;2135;1;0;0;PRIVADO;BAIXADA
2062-7225-1993;72259583000180;2062;1;0;0;PRIVADO;BAIXADA
3999-7867-1987;78677176000170;3999;1;0;0;PRIVADO;BAIXADA
2240-7154-1994;71540447000100;2240;1;0;0;PRIVADO;BAIXADA
2062-4040-1992;40402109000170;2062;1;0;0;PRIVADO;BAIXADA
2135-4296-1992;42967455000120;2135;1;0;0;PRIVADO;BAIXADA
2135-4490-1980;44907251000120;2135;1;0;0;PRIVADO;BAIXADA
2062-4424-1980;44245108000110;2062;1;0;0;PRIVADO;BAIXADA
2135-3690-1991;36902278000100;2135;1;0;0;PRIVADO;BAIXADA
2062-3327-1989;33279563000110;2062;1;0;0;PRIVADO;BAIXADA
2062-3727-1991;37274180000100;2062;1;0;0;PRIVADO;BAIXADA
2062-4322-1993;43221084001330;2062;0;0;0;PRIVADO;BAIXADA
2062-9061-1986;90613217000160;2062;1;0;0;PRIVADO;BAIXADA
2135-9365-1990;93655918000150;2135;1;0;0;PRIVADO;BAIXADA
2135-8787-1974;87876496000140;2135;1;0;0;PRIVADO;BAIXADA
2062-8943-1983;89438311000140;2062;1;0;0;PRIVADO;BAIXADA
2062-8370-1979;83704502000120;2062;1;0;0;PRIVADO;BAIXADA
2135-9418-1991;94180098000150;2135;1;0;0;PRIVADO;BAIXADA
2135-9381-1991;93817237000140;2135;1;0;0;PRIVADO;BAIXADA
2135-9659-1971;96594700000120;2135;1;0;0;PRIVADO;BAIXADA
2135-8179-1990;81797078000180;2135;1;0;0;PRIVADO;BAIXADA
2062-9463-1992;94632130000190;2062;1;0;0;PRIVADO;BAIXADA
2062-9154-1987;91546036000120;2062;1;0;0;PRIVADO;BAIXADA
2135-1964-1977;19645365000100;2135;1;0;0;PRIVADO;BAIXADA
2135-5228-1983;52289014000170;2135;1;0;0;PRIVADO;BAIXADA
2062-3069-1986;30691836000140;2062;1;0;0;PRIVADO;BAIXADA
2135-2055-1978;20555413000140;2135;1;0;0;PRIVADO;BAIXADA
2135-2000-1984;20000204000130;2135;1;0;0;PRIVADO;BAIXADA
2240-3117-1986;31170392000160;2240;1;0;0;PRIVADO;BAIXADA
2062-2766-1981;27668193000100;2062;1;0;0;PRIVADO;BAIXADA
2135-2735-1977;27357292000170;2135;1;0;0;PRIVADO;BAIXADA
2062-3222-1988;32224826000120;2062;1;0;0;PRIVADO;BAIXADA
2240-5561-1986;55614317000100;2240;1;0;0;PRIVADO;BAIXADA
2062-6190-1989;61906053000160;2062;1;0;0;PRIVADO;BAIXADA
2062-5098-1982;50986116000110;2062;1;0;0;PRIVADO;BAIXADA
2135-2730-1982;27306927000100;2135;1;0;0;PRIVADO;BAIXADA
2135-3044-1979;30441406000170;2135;1;0;0;PRIVADO;BAIXADA
2062-5950-1988;59506311000170;2062;1;0;0;PRIVADO;BAIXADA
2062-6100-1989;61005500000100;2062;1;0;0;PRIVADO;BAIXADA
2135-1629-1988;16294894000100;2135;1;1;0;PRIVADO;ATIVA
2062-2652-1990;26528679000180;2062;1;0;0;PRIVADO;BAIXADA
2135-6167-1989;61672473000120;2135;1;0;0;PRIVADO;BAIXADA
2062-7899-1985;78993045000100;2062;1;0;0;PRIVADO;BAIXADA
2135-2110-1979;21106364000120;2135;1;0;0;PRIVADO;BAIXADA
2135-5376-1984;53768289000150;2135;1;0;0;PRIVADO;BAIXADA
2062-7119-1993;71196976000120;2062;1;0;0;PRIVADO;BAIXADA
2062-7765-1979;77650638000100;2062;1;0;0;PRIVADO;BAIXADA
2135-7975-1986;79754792000140;2135;1;0;0;PRIVADO;BAIXADA
2062-3243-1989;32431462000150;2062;1;0;0;PRIVADO;BAIXADA
2135-7310-1993;73104580000130;2135;1;0;0;PRIVADO;BAIXADA
2062-7408-1994;74081167000160;2062;1;0;0;PRIVADO;BAIXADA
2135-7313-1993;73131021000110;2135;1;0;0;PRIVADO;BAIXADA
2062-8010-1987;80101264000170;2062;1;0;0;PRIVADO;BAIXADA
2240-7874-1985;78744604000130;2240;1;0;0;PRIVADO;BAIXADA
2135-7136-1993;71367874000120;2135;1;0;0;PRIVADO;BAIXADA
2062-7666-1983;76664895000120;2062;1;0;0;PRIVADO;BAIXADA
2135-7748-1977;77480754000110;2135;1;0;0;PRIVADO;BAIXADA
2135-7581-1984;75814319000230;2135;0;0;0;PRIVADO;BAIXADA
2135-4190-1992;41909805000130;2135;1;0;0;PRIVADO;BAIXADA
2062-4876-1977;48763809000100;2062;1;0;0;PRIVADO;BAIXADA
2135-3885-1990;38857462000100;2135;1;0;0;PRIVADO;BAIXADA
2062-4371-1973;43716505000160;2062;1;0;0;PRIVADO;BAIXADA
2135-4553-1981;45533981000170;2135;1;0;0;PRIVADO;BAIXADA
2062-5311-2005;53112561000300;2062;0;0;0;PRIVADO;ATIVA
2240-4946-1978;49464951000100;2240;1;0;0;PRIVADO;BAIXADA
2135-4120-1993;41207010000180;2135;1;0;0;PRIVADO;BAIXADA
2240-4332-1987;43325992000130;2240;1;0;0;PRIVADO;BAIXADA
2062-3264-1989;32641367000180;2062;1;0;0;PRIVADO;BAIXADA
2135-3495-1989;34955781000190;2135;1;0;0;PRIVADO;BAIXADA
2062-3654-1992;36541985000100;2062;1;0;0;PRIVADO;BAIXADA
2135-0175-1997;01756145000180;2135;1;0;0;PRIVADO;BAIXADA
2240-5732-1990;57325557000110;2240;1;0;0;PRIVADO;BAIXADA
2135-7581-1981;75814319000150;2135;1;0;0;PRIVADO;BAIXADA
2062-0731-2005;07313662000160;2062;1;0;0;PRIVADO;BAIXADA
2062-5327-1984;53278339000110;2062;1;0;0;PRIVADO;BAIXADA
2135-2620-1990;26208694000140;2135;1;0;0;PRIVADO;BAIXADA
2135-1249-1980;12496188000190;2135;1;0;0;PRIVADO;BAIXADA
2135-5459-1985;54591094000140;2135;1;0;0;PRIVADO;BAIXADA
2135-0143-1996;01433163000120;2135;1;0;0;PRIVADO;BAIXADA
2062-0114-1985;01142967000170;2062;1;0;0;PRIVADO;BAIXADA
2062-0171-1985;01712264000130;2062;1;0;0;PRIVADO;BAIXADA
2062-0253-1998;02533201000180;2062;1;0;0;PRIVADO;BAIXADA
4090-0979-2008;09790115000100;4090;1;0;0;PRIVADO;BAIXADA
2062-1043-2008;10436563000180;2062;1;0;0;PRIVADO;BAIXADA
2135-1222-2010;12220507000130;2135;1;1;1;PRIVADO;ATIVA
2062-0490-2002;04904391000120;2062;1;0;0;PRIVADO;ATIVA
2062-0390-2000;03901079000110;2062;1;0;0;PRIVADO;ATIVA
2135-1387-2011;13876515000100;2135;1;1;1;PRIVADO;ATIVA
3999-0051-1995;00516281000130;3999;1;0;0;PRIVADO;ATIVA
2062-1482-2012;14823970000100;2062;1;0;0;PRIVADO;ATIVA
2062-1700-2012;17001237000190;2062;1;0;0;PRIVADO;ATIVA
2062-1404-2011;14045278000190;2062;1;0;0;PRIVADO;ATIVA
2135-1176-2010;11769325000150;2135;1;0;0;PRIVADO;BAIXADA
2135-1364-2011;13649275000100;2135;1;1;1;PRIVADO;BAIXADA
2135-1537-2012;15375030000150;2135;1;1;1;PRIVADO;ATIVA
2135-1483-2012;14830545000130;2135;1;1;1;PRIVADO;ATIVA
2135-1535-2012;15351613000140;2135;1;1;1;PRIVADO;ATIVA
2062-1535-2012;15359272000150;2062;1;1;0;PRIVADO;ATIVA
2062-0971-1970;09719436000100;2062;1;0;0;PRIVADO;ATIVA
2135-1385-2011;13850287000190;2135;1;1;1;PRIVADO;ATIVA
2135-1402-2011;14023390000120;2135;1;0;0;PRIVADO;ATIVA
2062-0084-2010;00849004000300;2062;0;0;0;PRIVADO;ATIVA
4090-1597-2012;15971961000110;4090;1;0;0;PRIVADO;BAIXADA
3999-1365-2011;13658549000110;3999;1;0;0;PRIVADO;ATIVA
2135-1431-2011;14312252000160;2135;1;1;1;PRIVADO;ATIVA
2135-3756-1993;37564887000150;2135;1;0;0;PRIVADO;BAIXADA
2062-1050-2008;10500306000160;2062;1;0;0;PRIVADO;ATIVA
2240-0358-2000;03583686000260;2240;0;0;0;PRIVADO;ATIVA
2062-0361-2000;03619841000170;2062;1;0;0;PRIVADO;BAIXADA
2062-8865-1983;88656293000100;2062;1;0;0;PRIVADO;BAIXADA
2054-0124-1996;01243305000430;2054;0;0;0;PRIVADO;BAIXADA
2135-0178-1997;01786092000140;2135;1;0;0;PRIVADO;BAIXADA
2135-0393-2000;03937322000150;2135;1;0;0;PRIVADO;BAIXADA
2240-0079-1995;00799074000130;2240;1;0;0;PRIVADO;BAIXADA
2135-1684-2012;16849377000150;2135;1;1;1;PRIVADO;ATIVA
2062-0373-2008;03734601013790;2062;0;0;0;PRIVADO;ATIVA
2062-1481-2011;14814432000140;2062;1;1;0;PRIVADO;ATIVA
2135-1387-2011;13871224000110;2135;1;1;1;PRIVADO;ATIVA
2062-9406-1991;94064649000110;2062;1;0;0;PRIVADO;ATIVA
2062-0836-2006;08360628000100;2062;1;0;0;PRIVADO;ATIVA
2135-1515-2012;15156438000130;2135;1;0;0;PRIVADO;ATIVA
2135-1516-2012;15160571000160;2135;1;0;0;PRIVADO;ATIVA
2062-1035-2010;10357393000220;2062;0;0;0;PRIVADO;ATIVA
2062-0892-2007;08925731000150;2062;1;0;0;PRIVADO;ATIVA
4090-1605-2012;16053467000130;4090;1;0;0;PRIVADO;BAIXADA
2135-1473-2011;14737392000180;2135;1;1;1;PRIVADO;ATIVA
2135-0456-2001;04569277000190;2135;1;0;0;PRIVADO;BAIXADA
2135-0792-2009;07921293000270;2135;0;1;0;PRIVADO;ATIVA
2135-1094-2009;10944008000160;2135;1;1;0;PRIVADO;ATIVA
2062-0558-2003;05582594000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0105-1996;01051495000140;2062;1;0;0;PRIVADO;ATIVA
2062-5726-1993;57269763000150;2062;1;0;0;PRIVADO;ATIVA
2062-1445-2011;14452737000150;2062;1;1;0;PRIVADO;ATIVA
2062-1333-2011;13335552000100;2062;1;0;0;PRIVADO;ATIVA
2135-1387-2011;13878559000160;2135;1;1;1;PRIVADO;ATIVA
2135-1394-2011;13941989000180;2135;1;1;1;PRIVADO;ATIVA
2135-1518-2012;15182288000130;2135;1;1;1;PRIVADO;ATIVA
2135-1555-2012;15553446000110;2135;1;1;1;PRIVADO;ATIVA
2135-1216-2010;12164098000100;2135;1;1;1;PRIVADO;ATIVA
2135-0708-2004;07081651000100;2135;1;0;0;PRIVADO;ATIVA
2062-1728-1966;17283441000140;2062;1;0;0;PRIVADO;ATIVA
3085-0780-1985;07806565000100;3085;1;0;0;PRIVADO;ATIVA
3999-1105-2009;11050679000140;3999;1;0;0;PRIVADO;ATIVA
2135-1316-2011;13169734000140;2135;1;1;1;PRIVADO;ATIVA
2135-1519-2012;15190246000140;2135;1;1;1;PRIVADO;ATIVA
2135-1648-2012;16480744000190;2135;1;1;1;PRIVADO;BAIXADA
2135-1446-2011;14465596000100;2135;1;1;1;PRIVADO;ATIVA
2135-0933-2008;09331590000100;2135;1;0;0;PRIVADO;ATIVA
2062-1130-2009;11306905000100;2062;1;0;0;PRIVADO;ATIVA
2135-1567-2012;15676707000190;2135;1;1;0;PRIVADO;ATIVA
2135-0230-1977;02300267000120;2135;1;0;0;PRIVADO;ATIVA
2135-8162-1990;81620106000190;2135;1;0;0;PRIVADO;BAIXADA
2062-6803-1992;68035252000190;2062;1;0;0;PRIVADO;ATIVA
4120-1475-2011;14753183000120;4120;1;0;0;PRIVADO;ATIVA
2062-1118-2005;11185206000150;2062;1;0;0;PRIVADO;ATIVA
2135-9503-1993;95035473000130;2135;1;0;0;PRIVADO;ATIVA
2135-6635-1991;66351065000190;2135;1;0;0;PRIVADO;ATIVA
2062-4879-1977;48792485000120;2062;1;0;0;PRIVADO;ATIVA
2062-0461-2001;04617529000100;2062;1;0;0;PRIVADO;ATIVA
2135-0703-2004;07037992000170;2135;1;1;1;PRIVADO;ATIVA
2135-1278-2010;12783179000180;2135;1;1;1;PRIVADO;ATIVA
2135-0435-2001;04355056000110;2135;1;0;0;PRIVADO;ATIVA
2240-5549-1986;55492623000110;2240;1;1;0;PRIVADO;ATIVA
2062-1111-2009;11117576000150;2062;1;1;0;PRIVADO;BAIXADA
2135-1169-2010;11694319000180;2135;1;0;0;PRIVADO;ATIVA
3271-0956-2007;09568108000150;3271;1;0;0;PUBLICO;ATIVA
2240-0024-1994;00245285000120;2240;1;0;0;PRIVADO;ATIVA
3999-0073-1995;00739428000150;3999;1;0;0;PRIVADO;ATIVA
2062-0595-2003;05953866000130;2062;1;0;0;PRIVADO;ATIVA
2240-1696-2012;16962677000140;2240;1;1;0;PRIVADO;ATIVA
2062-1256-2010;12563448000100;2062;1;1;0;PRIVADO;ATIVA
2062-0031-1994;00311129000110;2062;1;0;0;PRIVADO;BAIXADA
3999-0068-1995;00686049000140;3999;1;0;0;PRIVADO;BAIXADA
2062-0091-1995;00919682000130;2062;1;0;0;PRIVADO;BAIXADA
2062-0053-1979;00539650000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0041-1995;00416580000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0068-1995;00686974000170;2062;1;0;0;PRIVADO;BAIXADA
2135-2682-1990;26826255000100;2135;1;0;0;PRIVADO;BAIXADA
2135-2226-1986;22260475000150;2135;1;0;0;PRIVADO;BAIXADA
2135-0736-2005;07362228000170;2135;1;0;0;PRIVADO;BAIXADA
2135-8471-1995;84716471000190;2135;1;0;0;PRIVADO;ATIVA
2062-0627-2004;06276262000160;2062;1;0;0;PRIVADO;BAIXADA
2135-0548-2003;05487230000140;2135;1;0;0;PRIVADO;BAIXADA
